"","Family","Genus","Species","FemaleMass","PopDensity","MaxLifeSpan","LogFemaleMass","LogMaxLifeSpan"
"83","Macropodidae","Macropus","eugenii",5500,0.75,14,8.61250337122056,2.63905732961526
"84","Macropodidae","Petrogale","penicillata",6300,3,14,8.74830491237962,2.63905732961526
"85","Macropodidae","Dendrolagus","lumholtzi",6475,1.275,NA,8.77570388656774,NA
"86","Macropodidae","Macropus","dorsalis",6500,1.1,15,8.77955745588373,2.70805020110221
"87","Dasyuridae","Sarcophilus","harrisii",7000,0.06,6,8.85366542803745,1.79175946922805
"88","Macropodidae","Petrogale","xanthopus",7000,0.15,12,8.85366542803745,2.484906649788
"89","Macropodidae","Macropus","irma",8000,0.27,NA,8.98719682066197,NA
"90","Macropodidae","Dendrolagus","bennettianus",9300,0.28,20,9.13776967914135,2.99573227355399
"91","Macropodidae","Macropus","agilis",11000,0.18,12,9.30565055178051,2.484906649788
"92","Macropodidae","Macropus","parryi",11000,0.36,14,9.30565055178051,2.63905732961526
"93","Macropodidae","Wallabia","bicolor",13000,0.31,12,9.47270463644367,2.484906649788
"94","Macropodidae","Macropus","rufogriseus",13800,0.36,19,9.5324238711453,2.94443897916644
"95","Macropodidae","Macropus","robustus",15600,0.31,24,9.65502619323763,3.17805383034795
"96","Macropodidae","Macropus","fuliginosus",16000,0.41,20,9.68034400122192,2.99573227355399
"97","Macropodidae","Macropus","antilopinus",17500,0.22,NA,9.76995615991161,NA
"98","Macropodidae","Macropus","giganteus",17800,0.45,24,9.78695373628018,3.17805383034795
"99","Vombatidae","Vombatus","ursinus",26000,0.36,20,10.1658518170036,2.99573227355399
"100","Vombatidae","Lasiorhinus","latifrons",26000,2.74,20,10.1658518170036,2.99573227355399
"101","Macropodidae","Macropus","rufus",26500,0.11,25,10.1849000119743,3.2188758248682
"102","Vombatidae","Lasiorhinus","krefftii",31000,0.22,27,10.3417424834673,3.29583686600433
