Subfamily,Genus Name Pub,Species Name Pub,Status,Exotic,Island Name,Island Group,Archipelago,Biogeographic realm,Lat,Long
Formicinae,Lasius,japonicus,Land + Island,Native,Fukuejima,-,Goto Islands,Temperate Northern Pacific,32.683948,128.745266
Ponerinae,Hypoponera,punctatissima,Land + Island,Exotic,Shimoji-shima,Miyako Islands,Sakishima Islands,Temperate Northern Pacific,32.87245,129.033348
Formicinae,Lasius,japonicus,Land + Island,Native,Nakadori,-,Goto Islands,Temperate Northern Pacific,32.964519,129.083867
Formicinae,Lasius,japonicus,Land + Island,Native,Hira-shima,-,Kyushu,Temperate Northern Pacific,33.006535,129.24276
Formicinae,Lasius,japonicus,Land + Island,Native,Jino-shima,-,Kyushu,Temperate Northern Pacific,33.904408,130.497787
Formicinae,Lasius,japonicus,Land + Island,Native,Nokonoshima,Hakata Bay Islands,Kyushu,Temperate Northern Pacific,33.621244,130.304145
Formicinae,Lasius,japonicus,Land + Island,Native,Shika,-,-,Temperate Northern Pacific,34.325627,139.21115
Formicinae,Lasius,japonicus,Land + Island,Native,Oshima,-,Kyushu,Temperate Northern Pacific,34.740866,139.385576
Formicinae,Lasius,japonicus,Land + Island,Native,Iki,-,-,Temperate Northern Pacific,33.785622,129.718024
Formicinae,Lasius,japonicus,Land + Island,Native,Hirado,-,Kyushu,Temperate Northern Pacific,33.284708,129.465011
Formicinae,Lasius,japonicus,Land + Island,Native,Tsushima,-,Tsushima Island,Temperate Northern Pacific,32.768066,128.960306
Formicinae,Lasius,japonicus,Land + Island,Native,Izu Oshima,-,Izu Islands,Temperate Northern Pacific,34.794057,139.364519
Ponerinae,Hypoponera,punctatissima,Land + Island,Exotic,Kitadaito-jima,-,Daito Islands,Temperate Northern Pacific,25.94437,131.307262
Formicinae,Lasius,japonicus,Land + Island,Native,To,-,Izu Islands,Temperate Northern Pacific,34.522303,139.279106
