location,easting,northing,zone,AI_annual_min,AI_annual_mean,AI_annual_max,precip_annual_total,precip_annual_min,precip_annual_max,precip_season_SW,precip_season_SA
high,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367
low_east,365676,7028551,56,0.272978,0.86815,0.561303,759.6450195,28.1567993,103.0329971,1.79221,0.0434394
low_west,350888,7030875,56,0.273427,0.789736,0.516099,709.5949707,26.4353008,97.0912018,1.74611,0.137193
mid_east,360196,7027612,56,0.370957,1.0576299,0.71584,912.2059937,35.6250992,119.1380005,1.6835901,-0.0306618
mid_west,354971,7031460,56,0.38078,1.1375099,0.684512,829.6170044,32.0750008,110.2099991,1.70012,0.0340908
