species,log_lamina_sla,log_lamina_area,lamina_ldmc,tlp,wd,log_t_b,sqrt_mh
Maytenus bilocularis,2.1054112210924334,6.945771541113877,0.49215155748760225,NA,0.6957194278260836,-1.5882312884707797,4.47213595499958
Dinosperma erythrococcum,2.4255351765287663,6.60902176648446,0.42460769991137065,NA,0.7891895668374476,-1.6672528665821837,5
Melicope micrococca,2.5022036667118126,6.634858187491436,0.3020519692684865,-1.605015,0.5302555508107963,-2.2284075337877356,5.916079783099616
Neolitsea australiensis,2.4248173339485977,7.8184353002156985,0.48327851473404604,NA,0.5999787459115454,-1.8238606611103134,3.872983346207417
Notelaea microcarpa,2.0232192991003313,6.777444409188107,0.5700405338394967,-2.80422,0.8358012589399323,-1.4166266257145517,3.1622776601683795
Olea paniculata,2.646960544415086,7.746576510476668,0.37219666920622707,-1.75689,0.8101744073575904,-1.538219888650128,5.477225575051661
Pittosporum undulatum,2.29491642445795,7.301697165726484,0.42207307045094367,-1.950075,0.6735804962471003,-1.8752786587133417,5
Planchonella cotinifolia,2.1599308438613427,5.703467841831151,0.4646689810330544,NA,0.8286462957860037,-1.0669863061353866,3.872983346207417
Planchonella myrsinifolia,2.23892375669275,6.840427538252316,0.5168099764803666,-2.48832,0.8224901993931152,-1.2231604138560557,3.4641016151377544
Polyscias elegans,2.7628439823602626,7.626904866366998,0.3425976162377659,-2.0035350000000003,0.43152589854483747,-2.2580353447128076,5.477225575051661
Vitex lignum-vitae,2.3226143393700327,6.487330074575316,0.4439771132994975,NA,0.7716666666666667,NA,5.477225575051661
Rhodamnia dumicola,2.0898659659761174,7.632530720916925,0.4516571761343621,NA,0.6729310344827586,NA,3.4641016151377544
Rhodosphaera rhodanthema,2.4167662003509602,6.646930592644681,0.40816082064096987,-2.3370525,0.591,NA,4.47213595499958
Santalum lanceolatum,1.7882927452018231,6.354761268605596,0.3361285348111701,NA,0.8211497061887107,-1.2775460569512973,2.6457513110645907
Sarcomelicope simplicifolia,2.5770341346224335,7.407469397993409,0.2759706901234713,-2.06388,0.765,NA,4.242640687119285
Streblus brunonianus,2.727343808317383,6.418668723393349,0.40844901284105906,-1.980855,0.6483916252974833,-1.5820903649465572,5.477225575051661
Syzygium australe,2.0600731844936324,7.297881681653251,0.37993109591594193,-1.600155,0.5775992869340472,NA,5
Triflorensia cameronii,1.9931152299957897,7.33381355150286,0.3827629568170468,NA,0.8028125499887474,-1.5634561134780356,2.449489742783178
Turraea pubescens,3.3131841816376517,7.337995923071702,0.3317984588799581,-2.381805,NA,NA,2.6457513110645907
Dendrocnide excelsa,2.5726122302071057,8.601534339849989,0.171,NA,0.21,-2.05572501506252,6.324555320336759
